"Coin","CurrentPrice","Time","DailyGain","DailyRating","DailyPosition","DailyVolume","60.0.Gain","60.0.Rating","60.0.Position","60.0.Volume","60.1.Gain","60.1.Rating","60.1.Position","60.1.Volume","60.Trajectory","60.VolumeIncrease","60.VolumePercent","3600.0.Gain","3600.0.Rating","3600.0.Position","3600.0.Volume","3600.1.Gain","3600.1.Rating","3600.1.Position","3600.1.Volume","3600.Trajectory","3600.VolumeIncrease","3600.VolumePercent","0.HourTrajectory","1.HourTrajectory","86400.0.Gain","86400.0.Rating","86400.0.Position","86400.0.Volume","86400.1.Gain","86400.1.Rating","86400.1.Position","86400.1.Volume","86400.Trajectory","86400.VolumeIncrease","86400.VolumePercent","0.DayTrajectory","1.DayTrajectory"
"TRB-USD","66.325","6/3/2021 12:23:37 AM","1.1055","3.0396","Middle","120697.412","1.0002","0.0002","Top","0.451","1.0023","0.0031","Top","82.476","-0.0021","0.0055","0.0000","0.9871","0.1338","Middle","2680.014","1.0052","0.4776","Middle","4826.611","-0.0181","0.5553","0.0222","-0.0181","0.0029","1.0303","1.9246","Middle","31156.891","1.0830","1.5252","Middle","102439.405","-0.0527","0.3041","0.2581","0.0050","-0.0807"
"KNC-USD","2.5669","6/3/2021 1:20:10 AM","1.1787","0.8092","Middle","21445291","1.0005","0.0024","Top","171.2","1.0001","0.0014","Middle","4626.7","0.0004","0.0370","0.0000","0.9965","0.0115","Middle","66704.9","0.9830","0.0102","Middle","245006","0.0135","0.2723","0.0031","0.0135","-0.0171","0.9546","0.0095","Middle","4038626","1.1372","1.3841","Middle","25152068","-0.1826","0.1606","0.1883","-0.0175","-0.1371"
"TRB-USD","69.037","6/3/2021 1:47:39 AM","1.1392","6.7832","Middle","125424.251","1.0000","0","Bottom","0.398","0.9992","0.1225","Middle","17.815","0.0008","0.0223","0.0000","0.9858","0.6473","Middle","3101.282","1.0418","13.5719","Middle","5976.658","-0.0560","0.5189","0.0247","-0.0560","0.0426","1.0613","3.0658","Middle","37385.332","1.0830","1.0539","Middle","102439.405","-0.0217","0.3650","0.2981","0.0418","-0.0838"
"DASH-USD","209.896","6/3/2021 1:49:11 AM","1.0736","22.8142","Middle","28465.53667593","1","0","Bottom","1.027","1.0003","0.3048","Middle","8.236","-0.0003","0.1247","0.0000","1.0035","2.6311","Middle","791.57551611","1.0075","1.4695","Middle","1336.02326733","-0.0040","0.5925","0.0278","-0.0040","0.0072","1.0382","15.1752","Middle","9503.58104552","1.0529","1.8411","Middle","23781.94278296","-0.0147","0.3996","0.3339","0.0075","-0.0526"
"ZRX-USD","1.203204","6/3/2021 2:45:00 AM","1.0821","3.9961","Middle","15553491.66885","1.0011","0.0578","Middle","4877.2104","1.0023","0.0023","Top","1189.38312","-0.0012","4.1006","0.0003","1.0224","1.0504","Middle","224536.57633","1.0024","0.2286","Middle","211241.83329","0.0200","1.0629","0.0144","0.0200","0.0001","1.0442","2.9665","Middle","3240965.635","1.1182","1.5183","Middle","24731721.99852","-0.0740","0.1310","0.2084","0.0013","-0.1159"
"TRB-USD","72.555","6/3/2021 2:45:17 AM","1.1547","68.3371","Middle","130992.889","1.0006","65","Middle","6.497","1.0041","0.0041","Top","36.398","-0.0035","0.1785","0.0000","1.0327","914.6667","Middle","5189.108","1.0048","0.9174","Middle","4433.98","0.0279","1.1703","0.0396","0.0279","0.0007","1.1295","3482.3333","Middle","44076.623","1.0830","0.7522","Middle","102439.405","0.0465","0.4303","0.3365","0.0042","-0.0789"
"NKN-USD","0.395","6/3/2021 2:45:31 AM","0.9892","2.4842","Middle","14810182.6","1.0028","0.0028","Top","3920","1.0008","0.0010","Top","2363.6","0.0020","1.6585","0.0003","1.0160","0.6863","Middle","509300.1","0.9931","0.0651","Middle","409592","0.0229","1.2434","0.0344","0.0229","-0.0077","1.0505","0.0612","Top","5450105.9","1.0027","0.5123","Middle","16644292.8","0.0478","0.3274","0.3680","-0.0097","-0.0019"
"ICP-USD","109.341","6/3/2021 2:46:17 AM","1.0260","1.8466","Middle","446551.4981","1","0","Bottom","1.9252","0.9991","0.0203","Middle","85.8948","0.0009","0.0224","0.0000","1.0101","0.3548","Middle","5739.0227","0.9916","0.1782","Middle","11889.7603","0.0185","0.4827","0.0129","0.0185","-0.0075","1.0131","1.1486","Middle","104632.9774","1.0029","1.1259","Middle","481204.9182","0.0102","0.2174","0.2343","-0.0084","-0.0038"
"EOS-USD","6.518","6/3/2021 3:42:00 AM","1.0278","12.0370","Middle","2384789.3","1","0","Bottom","28.2","1.0012","0.0012","Top","169","-0.0012","0.1669","0.0000","1.0045","1.4138","Middle","32710.5","1.0067","0.9683","Middle","34372.9","-0.0022","0.9516","0.0137","-0.0022","0.0055","1.0231","9.8966","Middle","788521.2","1.0087","1.6264","Middle","2715484.3","0.0144","0.2904","0.3306","0.0067","-0.0075"
"LRC-USD","0.3952","6/3/2021 3:42:33 AM","1.0289","3.9796","Middle","16870024.997208","1","0","Bottom","506","1","0","Bottom","78.352793","0","6.4580","0.0000","1.0059","0.625","Middle","149602.283484","1.0137","0.875","Middle","283229.068326","-0.0078","0.5282","0.0089","-0.0078","0.0137","1.0381","3.9796","Middle","6503352.199201","1.0160","1.0909","Middle","22178064.520571","0.0221","0.2932","0.3855","0.0137","-0.0160"
"FIL-USD","71.6393","6/3/2021 3:43:06 AM","1.0196","5.7702","Middle","189947.178","1.0007","0.0007","Top","88.077","1.0003","0.0493","Middle","10.539","0.0004","8.3572","0.0005","1.0049","1.5696","Middle","3954.699","1.0003","0.3993","Middle","13541.585","0.0046","0.2920","0.0208","0.0046","0.0000","1.0242","6.7225","Middle","71949.481","1.0131","0.9547","Middle","218247.689","0.0111","0.3297","0.3788","-0.0004","-0.0128"
"ICP-USD","111.678","6/3/2021 4:11:29 AM","1.0752","6.8827","Middle","428956.3362","1.0033","0.2416","Middle","566.6269","1.0020","0.0024","Top","40.5963","0.0013","13.9576","0.0013","1.0088","0.8797","Middle","2324.7478","0.9921","0.0954","Middle","13130.8069","0.0167","0.1770","0.0054","0.0167","-0.0099","1.0340","4.5865","Middle","124822.4295","1.0029","1.1259","Middle","481204.9182","0.0311","0.2594","0.2910","-0.0112","-0.0009"
"FIL-USD","74.0625","6/3/2021 4:11:35 AM","1.0628","251.8906","Middle","189979.971","1.0005","2.9924","Middle","433.988","1.0078","3.6081","Middle","3077.026","-0.0073","0.1410","0.0023","1.0252","159.5496","Middle","9484.178","1.0115","0.5295","Middle","5674.171","0.0137","1.6715","0.0499","0.0137","0.0037","1.0349","0.0416","Top","75132.443","1.0131","0.4746","Middle","218247.689","0.0218","0.3443","0.3955","0.0110","-0.0053"
"GRT-USD","0.8375","6/3/2021 4:40:10 AM","1.0717","55.5333","Middle","20111539.74","1.0010","0.0013","Top","2372.56","0.9999","0.375","Middle","7027.41","0.0011","0.3376","0.0001","1.0079","15.7143","Middle","307719.1","1.0127","1.6027","Middle","519845.75","-0.0048","0.5919","0.0153","-0.0048","0.0128","1.0941","120.1429","Middle","9290533.62","0.9936","0.4","Middle","16054313.56","0.1005","0.5787","0.4620","0.0117","0.0063"
"CRV-USD","2.4494","6/3/2021 6:04:27 AM","1.0111","0.5472","Middle","13019095.86","1.0004","0.0004","Top","63.64","1.0011","0.0011","Top","956.32","-0.0007","0.0665","0.0000","0.9940","0.0043","Middle","15423.12","0.9701","0.0577","Middle","358696.03","0.0239","0.0430","0.0012","0.0239","-0.0310","1.0492","0.5271","Middle","6449038.15","1.1382","0.8385","Middle","16861765.05","-0.0890","0.3825","0.4954","-0.0303","-0.1371"
"KNC-USD","2.5335","6/3/2021 6:04:59 AM","1.0574","0.2559","Middle","20377952.9","0.9974","0","Bottom","2168.8","1.0052","0.0244","Middle","4423","-0.0078","0.4903","0.0001","1.0045","0.0279","Middle","21238.6","0.9607","0","Bottom","279438.9","0.0438","0.0760","0.0010","0.0438","-0.0445","0.9422","0.0264","Middle","5069185.4","1.1372","1.3841","Middle","25152068","-0.1950","0.2015","0.2488","-0.0367","-0.1320"
"ATOM-USD","15.992","6/3/2021 6:05:05 AM","1.0794","1.4471","Middle","1553221.3","1.0031","0.0635","Middle","537.1","1.0017","0.0319","Middle","78.1","0.0014","6.8771","0.0003","0.9956","0.0507","Middle","4461.2","0.9761","0.1724","Middle","44498.9","0.0195","0.1003","0.0029","0.0195","-0.0256","1.0729","1.3174","Middle","748443.4","1.0804","0.6169","Middle","1216211.7","-0.0075","0.6154","0.4819","-0.0270","-0.0787"
"MANA-USD","0.866","6/3/2021 6:05:17 AM","1.0249","0.7436","Middle","7015171.5","0.9988","0","Bottom","2736.49","1","0","Bottom","4087.46","-0.0012","0.6695","0.0004","0.9920","0","Bottom","12602.35","0.9679","0.1613","Middle","362213.37","0.0241","0.0348","0.0018","0.0241","-0.0321","1.0117","0.6667","Middle","3122468.65","1.0337","1.0426","Middle","6841925.16","-0.0220","0.4564","0.4451","-0.0309","-0.0337"
